,ATL,AUS,BNA,BOS,BUF,BWI,CLT,DAL,DCA,DEN,DFW,DTW,ELP,EWR,FLL,GEG,GRR,HNL,HOU,IAD,IAH,JFK,LAS,LAX,LGA,MCI,MCO,MDW,MIA,MSP,MSY,MYR,OAK,OKC,ORD,PDX,PHL,PHX,PNS,PVD,RDU,RIC,RSW,SAN,SAT,SAV,SDF,SEA,SFO,SJC,SJU,SLC,SMF,SNA,SRQ,STL,TPA,TUS,SFB,KOA
in_degree,57.0,47.0,51.0,47.0,21.0,40.0,51.0,42.0,44.0,55.0,55.0,46.0,14.0,45.0,42.0,17.0,23.0,24.0,37.0,43.0,50.0,40.0,51.0,47.0,34.0,41.0,46.0,50.0,41.0,51.0,36.0,21.0,23.0,24.0,54.0,35.0,43.0,48.0,19.0,16.0,36.0,18.0,25.0,41.0,33.0,22.0,30.0,46.0,40.0,24.0,23.0,44.0,28.0,25.0,21.0,44.0,40.0,14.0,6.0,12.0
out_degree,57.0,47.0,51.0,47.0,23.0,40.0,51.0,42.0,44.0,55.0,55.0,46.0,14.0,45.0,42.0,17.0,24.0,24.0,37.0,37.0,49.0,40.0,51.0,47.0,34.0,42.0,47.0,50.0,41.0,51.0,36.0,22.0,23.0,24.0,54.0,35.0,40.0,48.0,19.0,17.0,36.0,20.0,25.0,41.0,33.0,23.0,30.0,46.0,40.0,24.0,23.0,44.0,28.0,25.0,21.0,45.0,39.0,14.0,6.0,12.0
weighted_in_degree,17429.0,6746.0,7005.0,9804.0,1624.0,5999.0,9854.0,4816.0,7432.0,15322.0,13273.0,7629.0,1349.0,8319.0,5645.0,1397.0,1266.0,2644.0,3521.0,4323.0,8984.0,7922.0,12152.0,14367.0,8743.0,3945.0,10636.0,5832.0,6817.0,6958.0,3886.0,1125.0,2794.0,1792.0,14027.0,4599.0,6466.0,10301.0,1025.0,1059.0,4717.0,1521.0,1845.0,7192.0,3248.0,1424.0,2036.0,11172.0,9179.0,3640.0,2735.0,6498.0,3724.0,3630.0,894.0,4501.0,5419.0,1177.0,83.0,1251.0
weighted_out_degree,17463.0,6753.0,7008.0,9852.0,1817.0,5995.0,9867.0,4798.0,7415.0,15244.0,13244.0,7632.0,1531.0,8010.0,5583.0,1649.0,1459.0,2647.0,3522.0,3807.0,8321.0,7946.0,12122.0,14371.0,8666.0,4058.0,10512.0,5836.0,6715.0,6955.0,3932.0,1210.0,2822.0,1951.0,13694.0,4897.0,6071.0,10296.0,1095.0,1254.0,4809.0,1900.0,1847.0,7198.0,3293.0,1616.0,2137.0,10710.0,9133.0,3699.0,2770.0,6501.0,3790.0,3639.0,904.0,4785.0,5413.0,1206.0,83.0,1260.0
betweenness_centrality,0.02418208890963979,0.01489661406202594,0.02078774058516844,0.00894769875004044,0.0003688328551276096,0.0057878064525512035,0.012138098689393601,0.008601265666849937,0.007696361011192964,0.022658796845415295,0.021171479674860515,0.008462305445347403,8.461366450801925e-05,0.010455641029778195,0.005468564724438537,0.0002672381616807708,0.002965453750330821,0.0011564506686172385,0.00828758904825808,0.005590266368263686,0.01267753201745632,0.006385078681074998,0.02363300621378014,0.011374321078450638,0.004979245052937485,0.0044335711329503615,0.008232935390744813,0.015464734425862854,0.0042413975248751625,0.013886255925457424,0.0010085269701226069,0.000292055221108302,0.0017234972830040707,0.002609351558828623,0.02606701610161103,0.004253539700304264,0.006978639973982578,0.012288316188582187,0.00013708080250353412,0.00021282568688169007,0.0015948058816917408,0.0001561742957961211,0.0010265113165835518,0.007393717479138631,0.0017044680781365571,0.0007759995772354335,0.004773863178139311,0.010819336767586181,0.005854148979347825,0.0017415325196122637,0.00040171089028779813,0.006525254813880628,0.0012653713073902978,0.0011639739221250515,0.0008362858693435019,0.00748227368643258,0.003531644949207895,8.790155468549746e-05,0.00011396943823348817,0.00013801705794692354
closeness_centrality,0.9672131147540983,0.8309859154929577,0.8805970149253731,0.8309859154929577,0.6082474226804123,0.7564102564102564,0.8805970149253731,0.7763157894736842,0.7972972972972973,0.9365079365079365,0.9365079365079365,0.8194444444444444,0.5673076923076923,0.8082191780821918,0.7763157894736842,0.5841584158415841,0.6210526315789474,0.6276595744680851,0.7283950617283951,0.7866666666666666,0.8676470588235294,0.7564102564102564,0.8805970149253731,0.8309859154929577,0.7023809523809523,0.7662337662337663,0.8194444444444444,0.8676470588235294,0.7662337662337663,0.8805970149253731,0.7195121951219512,0.6082474226804123,0.6210526315789474,0.6276595744680851,0.921875,0.7108433734939759,0.7866666666666666,0.8428571428571429,0.5959595959595959,0.5784313725490197,0.7195121951219512,0.59,0.6344086021505376,0.7662337662337663,0.6941176470588235,0.6145833333333334,0.6704545454545454,0.8194444444444444,0.7564102564102564,0.6276595744680851,0.6210526315789474,0.7972972972972973,0.6555555555555556,0.6344086021505376,0.6082474226804123,0.7972972972972973,0.7564102564102564,0.5673076923076923,0.5267857142857143,0.5566037735849056
in_degree_centrality,0.9661016949152542,0.7966101694915254,0.864406779661017,0.7966101694915254,0.3559322033898305,0.6779661016949152,0.864406779661017,0.711864406779661,0.7457627118644068,0.9322033898305084,0.9322033898305084,0.7796610169491526,0.23728813559322035,0.7627118644067796,0.711864406779661,0.288135593220339,0.3898305084745763,0.4067796610169492,0.6271186440677966,0.7288135593220338,0.847457627118644,0.6779661016949152,0.864406779661017,0.7966101694915254,0.576271186440678,0.6949152542372882,0.7796610169491526,0.847457627118644,0.6949152542372882,0.864406779661017,0.6101694915254238,0.3559322033898305,0.3898305084745763,0.4067796610169492,0.9152542372881356,0.5932203389830508,0.7288135593220338,0.8135593220338984,0.3220338983050847,0.2711864406779661,0.6101694915254238,0.3050847457627119,0.423728813559322,0.6949152542372882,0.559322033898305,0.3728813559322034,0.5084745762711864,0.7796610169491526,0.6779661016949152,0.4067796610169492,0.3898305084745763,0.7457627118644068,0.4745762711864407,0.423728813559322,0.3559322033898305,0.7457627118644068,0.6779661016949152,0.23728813559322035,0.1016949152542373,0.2033898305084746
out_degree_centrality,0.9661016949152542,0.7966101694915254,0.864406779661017,0.7966101694915254,0.3898305084745763,0.6779661016949152,0.864406779661017,0.711864406779661,0.7457627118644068,0.9322033898305084,0.9322033898305084,0.7796610169491526,0.23728813559322035,0.7627118644067796,0.711864406779661,0.288135593220339,0.4067796610169492,0.4067796610169492,0.6271186440677966,0.6271186440677966,0.8305084745762712,0.6779661016949152,0.864406779661017,0.7966101694915254,0.576271186440678,0.711864406779661,0.7966101694915254,0.847457627118644,0.6949152542372882,0.864406779661017,0.6101694915254238,0.3728813559322034,0.3898305084745763,0.4067796610169492,0.9152542372881356,0.5932203389830508,0.6779661016949152,0.8135593220338984,0.3220338983050847,0.288135593220339,0.6101694915254238,0.3389830508474576,0.423728813559322,0.6949152542372882,0.559322033898305,0.3898305084745763,0.5084745762711864,0.7796610169491526,0.6779661016949152,0.4067796610169492,0.3898305084745763,0.7457627118644068,0.4745762711864407,0.423728813559322,0.3559322033898305,0.7627118644067796,0.6610169491525424,0.23728813559322035,0.1016949152542373,0.2033898305084746
