Airport,Initial_z_score,Delay_Score,Datetime
AUS,0.0,0.0054847327641826425,2023-06-01 06:00:00
BNA,0.0,0.01510216574549412,2023-06-01 06:00:00
BOS,0.0,0.01766784486666408,2023-06-01 06:00:00
BUF,0.0,0.013524796766267189,2023-06-01 06:00:00
BWI,0.0,0.01568415522705964,2023-06-01 06:00:00
CLT,0.0,0.020989785361186047,2023-06-01 06:00:00
DAL,0.0,0.0061045004292462545,2023-06-01 06:00:00
DCA,0.0,0.015395417938067497,2023-06-01 06:00:00
DEN,0.0,0.003313919187315371,2023-06-01 06:00:00
DFW,0.0,0.0057454765045513315,2023-06-01 06:00:00
DTW,0.0,0.016588980814197136,2023-06-01 06:00:00
ELP,0.0,0.00480814303058177,2023-06-01 06:00:00
EWR,0.4965853037914095,0.08990713491092686,2023-06-01 06:00:00
FLL,0.0,0.011849459908492609,2023-06-01 06:00:00
GEG,0.0,0.0,2023-06-01 06:00:00
GRR,0.0,0.011356216046211856,2023-06-01 06:00:00
HNL,0.0,0.0,2023-06-01 06:00:00
HOU,0.0,0.007383481346182923,2023-06-01 06:00:00
IAD,0.0,0.028332279716406384,2023-06-01 06:00:00
IAH,0.0,0.005241479484577603,2023-06-01 06:00:00
JFK,0.0,0.01487212569022879,2023-06-01 06:00:00
KOA,0.0,0.0,2023-06-01 06:00:00
LAS,0.0,0.00425149680941498,2023-06-01 06:00:00
LAX,0.0,0.004124982841812579,2023-06-01 06:00:00
LGA,0.0,0.013673354850875005,2023-06-01 06:00:00
MCI,0.0,0.0076908086842674105,2023-06-01 06:00:00
MCO,0.0,0.01055570076369355,2023-06-01 06:00:00
MDW,0.0,0.011521834449398964,2023-06-01 06:00:00
MIA,0.0,0.012484971977492413,2023-06-01 06:00:00
MSP,0.0,0.00358080624486561,2023-06-01 06:00:00
MSY,0.0,0.007557979299316914,2023-06-01 06:00:00
MYR,0.0,0.015044395053733913,2023-06-01 06:00:00
OAK,0.0,0.003595266098381597,2023-06-01 06:00:00
OKC,0.0,0.0051350562862375335,2023-06-01 06:00:00
ORD,0.0,0.010194891448835444,2023-06-01 06:00:00
PDX,0.0,0.0015631559731446626,2023-06-01 06:00:00
PHL,0.0,0.012892472467365386,2023-06-01 06:00:00
PHX,0.0,0.0051797174214633515,2023-06-01 06:00:00
PNS,0.0,0.009869712335140708,2023-06-01 06:00:00
PVD,0.0,0.016549421348949205,2023-06-01 06:00:00
RDU,0.0,0.030650831226802202,2023-06-01 06:00:00
RIC,0.0,0.015123231905077026,2023-06-01 06:00:00
RSW,0.0,0.013079245661406575,2023-06-01 06:00:00
SAN,0.0,0.004420907410112529,2023-06-01 06:00:00
SAT,0.0,0.005953378658545858,2023-06-01 06:00:00
SAV,0.0,0.014341415554148506,2023-06-01 06:00:00
SDF,0.0,0.02470208517362972,2023-06-01 06:00:00
SEA,0.0,0.0009202220919201902,2023-06-01 06:00:00
SFB,0.0,0.0,2023-06-01 06:00:00
SFO,0.0,0.003236535461768236,2023-06-01 06:00:00
SJC,0.0,0.0031516798094798474,2023-06-01 06:00:00
SJU,0.0,0.00964655690111265,2023-06-01 06:00:00
SLC,0.0,0.0032859455870027122,2023-06-01 06:00:00
SMF,0.0,0.0032312274045266896,2023-06-01 06:00:00
SNA,0.0,0.0,2023-06-01 06:00:00
SRQ,0.0,0.015470773196439478,2023-06-01 06:00:00
STL,0.0,0.006550131115738607,2023-06-01 06:00:00
TPA,0.0,0.009004882785615474,2023-06-01 06:00:00
TUS,0.0,0.0,2023-06-01 06:00:00
