Hub,Model,Features,AUC,F1,Recall,N_train,N_test
Small,ANN,Baseline+Centrality,0.705064,0.472312,0.689921,18429,19339
Small,ANN,B+C+ANSP_2hr,0.723654,0.487851,0.659533,18429,19339
Small,ANN,B+C+Init_2hr,0.713482,0.479378,0.686497,18429,19339
Small,ANN,B+C+ANSP_3hr,0.726749,0.488797,0.683929,18429,19339
Small,ANN,B+C+Init_3hr,0.707562,0.474958,0.690991,18429,19339
Small,ANN,B+C+ANSP_6hr,0.716476,0.482225,0.706826,18429,19339
Small,ANN,B+C+Init_6hr,0.70127,0.469838,0.70918,18429,19339
All,XGBoost,Baseline+Centrality,0.678086,0.521768,0.687308,345830,357665
All,XGBoost,B+C+ANSP_2hr,0.719238,0.554228,0.687663,345830,357665
All,XGBoost,B+C+Init_2hr,0.706396,0.544796,0.692448,345830,357665
All,XGBoost,B+C+ANSP_3hr,0.709632,0.545473,0.678199,345830,357665
All,XGBoost,B+C+Init_3hr,0.703433,0.541029,0.69671,345830,357665
All,XGBoost,B+C+ANSP_6hr,0.691511,0.531967,0.684991,345830,357665
All,XGBoost,B+C+Init_6hr,0.682089,0.523873,0.68025,345830,357665
All,RF,Baseline+Centrality,0.68309,0.298365,0.203439,345830,357665
All,RF,B+C+ANSP_2hr,0.722217,0.400925,0.298665,345830,357665
All,RF,B+C+Init_2hr,0.710058,0.365106,0.262203,345830,357665
All,RF,B+C+ANSP_3hr,0.715978,0.378551,0.273602,345830,357665
All,RF,B+C+Init_3hr,0.706403,0.352788,0.249001,345830,357665
All,RF,B+C+ANSP_6hr,0.699752,0.321928,0.221906,345830,357665
All,RF,B+C+Init_6hr,0.689909,0.287298,0.190548,345830,357665
All,BaggedLR,Baseline+Centrality,0.652224,0.513278,0.736847,345830,357665
All,BaggedLR,B+C+ANSP_2hr,0.70402,0.544219,0.721932,345830,357665
All,BaggedLR,B+C+Init_2hr,0.69136,0.533659,0.716179,345830,357665
All,BaggedLR,B+C+ANSP_3hr,0.686891,0.530406,0.722376,345830,357665
All,BaggedLR,B+C+Init_3hr,0.679651,0.52455,0.717085,345830,357665
All,BaggedLR,B+C+ANSP_6hr,0.653812,0.514276,0.738383,345830,357665
All,BaggedLR,B+C+Init_6hr,0.65236,0.513461,0.737051,345830,357665
All,ANN,Baseline+Centrality,0.668311,0.52261,0.765878,345830,357665
All,ANN,B+C+ANSP_2hr,0.719798,0.554424,0.709698,345830,357665
All,ANN,B+C+Init_2hr,0.704241,0.541154,0.712264,345830,357665
All,ANN,B+C+ANSP_3hr,0.710262,0.546706,0.728937,345830,357665
All,ANN,B+C+Init_3hr,0.698598,0.538281,0.708384,345830,357665
All,ANN,B+C+ANSP_6hr,0.68332,0.53035,0.767086,345830,357665
All,ANN,B+C+Init_6hr,0.67326,0.522911,0.739395,345830,357665
