Hub,Model,Features,AUC,F1,Recall,N
Small,ANN,B+C+Init_6hr,0.722275,0.475345,0.68772,37768
All,XGBoost,Baseline+Centrality,0.732294,0.550341,0.668735,703495
All,XGBoost,B+C+ANSP_2hr,0.752852,0.570735,0.672954,703495
All,XGBoost,B+C+Init_2hr,0.74317,0.561122,0.663784,703495
All,XGBoost,B+C+ANSP_3hr,0.748787,0.56647,0.666393,703495
All,XGBoost,B+C+Init_3hr,0.740451,0.558082,0.657051,703495
All,XGBoost,B+C+ANSP_6hr,0.742675,0.560186,0.674181,703495
All,XGBoost,B+C+Init_6hr,0.736395,0.55325,0.668885,703495
All,RF,Baseline+Centrality,0.714926,0.434561,0.349664,703495
All,RF,B+C+ANSP_2hr,0.733577,0.468761,0.386419,703495
All,RF,B+C+Init_2hr,0.726088,0.454164,0.36942,703495
All,RF,B+C+ANSP_3hr,0.731823,0.46531,0.381842,703495
All,RF,B+C+Init_3hr,0.724675,0.451887,0.366065,703495
All,RF,B+C+ANSP_6hr,0.72669,0.453523,0.369014,703495
All,RF,B+C+Init_6hr,0.722029,0.444061,0.357666,703495
All,BaggedLR,Baseline+Centrality,0.660378,0.495981,0.626618,703495
All,BaggedLR,B+C+ANSP_2hr,0.707987,0.534115,0.648101,703495
All,BaggedLR,B+C+Init_2hr,0.69697,0.521539,0.621289,703495
All,BaggedLR,B+C+ANSP_3hr,0.692235,0.519694,0.638036,703495
All,BaggedLR,B+C+Init_3hr,0.685796,0.512212,0.618125,703495
All,BaggedLR,B+C+ANSP_6hr,0.66161,0.497535,0.630435,703495
All,BaggedLR,B+C+Init_6hr,0.660672,0.496499,0.628237,703495
All,ANN,Baseline+Centrality,0.693874,0.522559,0.668633,703495
All,ANN,B+C+ANSP_2hr,0.734254,0.555473,0.65833,703495
All,ANN,B+C+Init_2hr,0.720791,0.541939,0.655483,703495
All,ANN,B+C+ANSP_3hr,0.728001,0.550237,0.669519,703495
All,ANN,B+C+Init_3hr,0.715405,0.538133,0.650822,703495
All,ANN,B+C+ANSP_6hr,0.710408,0.534972,0.663556,703495
All,ANN,B+C+Init_6hr,0.701247,0.527549,0.670649,703495
