Split,Hub,Model,Lag,Baseline_AUC,ANSP_AUC,DAUC,Baseline_F1,ANSP_F1,DF1,Baseline_Recall,ANSP_Recall,DRecall,Init_AUC,Init_DAUC,Prop_adds
CV,All,RF,6hr,0.7149,0.7267,0.0118,0.4346,0.4535,0.0189,0.3497,0.369,0.0193,0.722,0.0071,0.0047
CV,All,BaggedLR,2hr,0.6604,0.708,0.0476,0.496,0.5341,0.0381,0.6266,0.6481,0.0215,0.697,0.0366,0.011
CV,All,BaggedLR,3hr,0.6604,0.6922,0.0318,0.496,0.5197,0.0237,0.6266,0.638,0.0114,0.6858,0.0254,0.0064
CV,All,BaggedLR,6hr,0.6604,0.6616,0.0012,0.496,0.4975,0.0015,0.6266,0.6304,0.0038,0.6607,0.0003,0.0009
CV,All,ANN,2hr,0.6939,0.7343,0.0404,0.5226,0.5555,0.0329,0.6686,0.6583,-0.0103,0.7208,0.0269,0.0135
CV,All,ANN,3hr,0.6939,0.728,0.0341,0.5226,0.5502,0.0276,0.6686,0.6695,0.0009,0.7154,0.0215,0.0126
CV,All,ANN,6hr,0.6939,0.7104,0.0165,0.5226,0.535,0.0124,0.6686,0.6636,-0.005,0.7012,0.0073,0.0092
OOT,Large,XGBoost,2hr,0.6663,0.7082,0.0419,0.5253,0.5573,0.032,0.6743,0.681,0.0067,0.6982,0.0319,0.01
OOT,Large,XGBoost,3hr,0.6663,0.7006,0.0343,0.5253,0.5509,0.0256,0.6743,0.6771,0.0028,0.6924,0.0261,0.0082
OOT,Large,XGBoost,6hr,0.6663,0.6769,0.0106,0.5253,0.5324,0.0071,0.6743,0.6661,-0.0082,0.6714,0.0051,0.0055
OOT,Large,RF,2hr,0.6739,0.7139,0.04,0.3232,0.4222,0.099,0.2282,0.3229,0.0947,0.7026,0.0287,0.0113
OOT,Large,RF,3hr,0.6739,0.7072,0.0333,0.3232,0.398,0.0748,0.2282,0.2947,0.0665,0.6998,0.0259,0.0074
OOT,Large,RF,6hr,0.6739,0.689,0.0151,0.3232,0.3451,0.0219,0.2282,0.2451,0.0169,0.6814,0.0075,0.0076
OOT,Large,BaggedLR,2hr,0.6476,0.7013,0.0537,0.5243,0.5541,0.0298,0.7488,0.7267,-0.0221,0.6926,0.045,0.0087
OOT,Large,BaggedLR,3hr,0.6476,0.6836,0.036,0.5243,0.5406,0.0163,0.7488,0.7262,-0.0226,0.6808,0.0332,0.0028
OOT,Large,BaggedLR,6hr,0.6476,0.6498,0.0022,0.5243,0.5261,0.0018,0.7488,0.751,0.0022,0.6475,-0.0001,0.0023
OOT,Large,ANN,2hr,0.6574,0.7157,0.0583,0.5309,0.5634,0.0325,0.787,0.7467,-0.0403,0.7042,0.0468,0.0115
OOT,Large,ANN,3hr,0.6574,0.706,0.0486,0.5309,0.5549,0.024,0.787,0.7004,-0.0866,0.6988,0.0414,0.0072
OOT,Large,ANN,6hr,0.6574,0.673,0.0156,0.5309,0.5371,0.0062,0.787,0.7547,-0.0323,0.6675,0.0101,0.0055
OOT,Medium,XGBoost,2hr,0.6817,0.7252,0.0435,0.469,0.5108,0.0418,0.5838,0.5971,0.0133,0.7026,0.0209,0.0226
OOT,Medium,XGBoost,3hr,0.6817,0.7172,0.0355,0.469,0.5039,0.0349,0.5838,0.5936,0.0098,0.6984,0.0167,0.0188
OOT,Medium,XGBoost,6hr,0.6817,0.7029,0.0212,0.469,0.486,0.017,0.5838,0.5896,0.0058,0.6923,0.0106,0.0106
OOT,Medium,RF,2hr,0.7021,0.7488,0.0467,0.2171,0.3132,0.0961,0.1322,0.2084,0.0762,0.7301,0.028,0.0187
OOT,Medium,RF,3hr,0.7021,0.7419,0.0398,0.2171,0.3021,0.085,0.1322,0.1991,0.0669,0.7228,0.0207,0.0191
OOT,Medium,RF,6hr,0.7021,0.73,0.0279,0.2171,0.2587,0.0416,0.1322,0.1627,0.0305,0.7139,0.0118,0.0161
OOT,Medium,BaggedLR,2hr,0.6702,0.7135,0.0433,0.4757,0.5093,0.0336,0.6884,0.6965,0.0081,0.6937,0.0235,0.0198
OOT,Medium,BaggedLR,3hr,0.6702,0.6966,0.0264,0.4757,0.4925,0.0168,0.6884,0.6931,0.0047,0.6791,0.0089,0.0175
OOT,Medium,BaggedLR,6hr,0.6702,0.6706,0.0004,0.4757,0.4755,-0.0002,0.6884,0.6894,0.001,0.6756,0.0054,-0.005
OOT,Medium,ANN,2hr,0.6897,0.7358,0.0461,0.4878,0.5311,0.0433,0.6889,0.7079,0.019,0.7141,0.0244,0.0217
OOT,Medium,ANN,3hr,0.6897,0.7281,0.0384,0.4878,0.5196,0.0318,0.6889,0.6897,0.0008,0.7054,0.0157,0.0227
OOT,Medium,ANN,6hr,0.6897,0.7051,0.0154,0.4878,0.5001,0.0123,0.6889,0.7232,0.0343,0.6947,0.005,0.0104
